text,favoriteCount,retweetCount
Fiat Friday Done  We hope youve all had a good safe day - Catch you tomorrow  https://t.co/p3pQKIkfQq #fiat https://t.co/1x6HVpV1FC,2,0
Happy Weekend @Team_PeterKash @chrisd6979 @LeafsgirlSteph @JDBunkis @CntrLeafsNation @SherAndLil @MoVernie Which 6 https://t.co/YwzUEgojwO,1,0
"Cinque e tre otto e due.. 
#molella #17aprile #weekend https://t.co/18BGUurXT6",2,0
""" a new #puzzle for the #weekend "" #draweveryday pen on #paper and #yellow ink #art #drawing #architectonic #symbol https://t.co/8U77NMLnJl",0,1
"Have a wonderful weekend, everyone! #Celebration #TGIF #Weekend #FridayFeeling",0,0
We made it to the #weekend! Have a great one everybody!,2,0
Have a great #weekend from us here at JayDigglerInc and thank you for your continued loyalty. #TGIF #JayDiggler #SEO #Viral #Loyalty,0,0
All those people and @metpoliceuk breaking lockdown rules. Its going to be interesting watching what happens this https://t.co/xjrTnWgOKd,0,0
"no longer needed
#memes #memesdaily #friday #weekend #funny #joke #laugh #relate #relateable #relateablememes #dark https://t.co/DpXQUHkZZb",0,0
"Only thing Siri is good for...

#weekend https://t.co/dqzrBwsqi9",1,0
"She got her quotes done early, so she can enjoy the #weekend and do the things she truly loves. What's your favorit https://t.co/bGHbLDkPHC",0,0
#musicians #singersongwriter #Livestream #BeVokal #ONSTAGE #NASCAR #Nashville #BackyardNash #Quarantine https://t.co/A1fEIrqBth,0,1
"Listen now to The Friday Request Show
at Hospital Radio Reading @HRReading
 today with Paul Arthur @PaulArthurVover https://t.co/eLSm0kSj0o",2,2
Warmer weather means grilling season is hereand we've got all the inspiration you need for this #weekend. https://t.co/LHaQjDBj8V,1,0
"Flashback to 6 yrs ago with the cousins! Miss this age! Hope everyone has a fab Friday!
.
.
.
#family #cousins #FF https://t.co/kQRc0v0QQz",0,0
Its time to start thinking about what I feel like drinking tonight #FridayNight #weekend https://t.co/L5470rIHer,0,0
"While studying a course online the instructor kept pronouncing ""Enter Key"" as ""anarchy"" and that is all the motivat https://t.co/L7oGzbaoBs",0,0
New Turquoise and Green Azulejo Tile Hoops #portugal #portuguesetiles #history #travel #weekend #beach #gypsy https://t.co/2jtGszdrAz,0,0
#captainslog star date 4/17/2020 - #pennppopokitten has declared the #weekend has begun and cuddles must commence. https://t.co/1HLaqt4ooL,0,0
"Happy #weekend !  Aren't you so happy that 5/7ths of your life is spent waiting for the other 2/7ths?

Counting dow https://t.co/YeEHZbfMYR",0,0
@J5rson @DarBe512 @alexconnorwrite @nweisenseeegan @notagod123 @wordsofcrystal @caribeanne @SonjaZeltner https://t.co/Wj4uoURC3C,2,1
Friday afternoon it is! That means the weekend starts! If you're like me you've been on a weekend for several days https://t.co/PcMN9VKbWX,0,0
Have a great #weekend! https://t.co/NM9OFsJhK9,1,1
#weekend mood on! Back on Monday https://t.co/QSRBVGmO3M,3,0
"Tilo zamieci nowy,smutny post na ig: 

https://t.co/BE0Ea9LEc4
[*] 
#TiloWolff #lacrimosa #music #musik #muzyka https://t.co/Oxjgoyh7Jp",0,0
"#weekend Dont even feel fun anymore, when we was stressin &amp; workin the weekends were everything. Now its just another day",0,0
Have you heard The Weekend | Soundtrack by @clubfmphilly on #SoundCloud? #Weekend #Soundtrack #Aston #April https://t.co/mkVBIHoJDR,0,1
"Jumping into the #weekend like 

Watch #ASlumericanLife FREE: https://t.co/1mqIH6YwgX 
#yelawolf #slumerican https://t.co/K3ofEbPKKl",3,0
